cell_id, m_id,x r,y r,z r,x r+,y r+,z r+,x NL,y NL,z NL,label,t,dx,dy,dz,speed
3217684,-1,1740.3,1141.7,1775.6,1821.6,1174.1,1781.6,1823.4,1174.2,1736.3,-1,184,-1.0,-1.0,-1.0,-1.0
3217743,-1,1680.0,911.1,1798.1,1760.1,942.9,1787.9,1759.9,932.0,1761.7,-1,184,-1.0,-1.0,-1.0,-1.0
3217744,-1,1681.1,913.9,1800.7,1760.8,945.6,1790.7,1760.6,934.6,1763.6,-1,184,-1.0,-1.0,-1.0,-1.0
3217753,-1,1667.7,867.8,1789.4,1748.8,900.0,1776.2,1750.3,888.7,1753.8,-1,184,-1.0,-1.0,-1.0,-1.0
3218838,-1,1592.3,942.5,1793.6,1673.2,974.6,1775.6,1671.8,963.4,1751.6,-1,184,-1.0,-1.0,-1.0,-1.0
3218909,-1,1627.3,1249.2,1833.8,1702.7,1279.2,1832.1,1693.6,1288.6,1785.8,-1,184,-1.0,-1.0,-1.0,-1.0
3219321,-1,1601.3,1178.2,1813.4,1679.3,1209.2,1806.1,1674.2,1213.8,1772.0,-1,184,-1.0,-1.0,-1.0,-1.0
3219712,-1,1826.6,512.7,2108.1,1874.4,531.7,2094.8,1883.7,492.0,2057.1,-1,184,-1.0,-1.0,-1.0,-1.0
3219729,-1,1931.0,613.7,1918.6,1997.9,640.4,1921.6,1999.6,634.6,1914.0,-1,184,-1.0,-1.0,-1.0,-1.0
3219800,-1,2003.1,653.6,2008.7,2060.0,676.4,2020.4,2066.0,664.8,2007.0,-1,184,-1.0,-1.0,-1.0,-1.0
3220010,-1,1538.6,1246.0,1838.5,1614.1,1276.0,1827.3,1603.2,1282.9,1787.7,-1,184,-1.0,-1.0,-1.0,-1.0
3220013,-1,1537.3,1219.4,1838.8,1612.8,1249.4,1826.3,1602.1,1255.3,1786.5,-1,184,-1.0,-1.0,-1.0,-1.0
3220552,-1,1705.3,904.1,1793.1,1785.7,936.0,1785.4,1786.5,926.4,1756.3,-1,184,-1.0,-1.0,-1.0,-1.0
